HUYEN_ID|TEN_HUYEN|TINH_ID|CAP
10901|Thành phố Hưng Yên|109|Thành phố
10902|Văn Lâm|109|Huyện
10903|Mỹ Hào|109|Huyện
10904|Yên Mỹ|109|Huyện
10906|Khoái Châu|109|Huyện
10907|Ân Thi|109|Huyện
10911|Phù Cừ|109|Huyện
10913|Tiên Lữ|109|Huyện
11103|Duy Tiên|111|Huyện
11105|Kim Bảng|111|Huyện
11107|Lý Nhân|111|Huyện
11111|Bình Lục|111|Huyện
11301|Thành phố Nam Định|113|Thành phố
11305|Mỹ Lộc|113|Huyện
11307|Ý Yên|113|Huyện
11311|Trực Ninh|113|Huyện
11315|Giao Thủy|113|Huyện
11317|Nghĩa Hưng|113|Huyện
11319|Hải Hậu|113|Huyện
11503|Quỳnh Phụ|115|Huyện
11505|Hưng Hà|115|Huyện
11507|Thái Thụy|115|Huyện
11511|Vũ Thư|115|Huyện
11515|Tiền Hải|115|Huyện
11707|Gia Viễn|117|Huyện
11711|Yên Mô|117|Huyện
11713|Yên Khánh|117|Huyện
20101|Thành phố Hà Giang|201|Thành phố
20103|Đồng Văn|201|Huyện
20107|Yên Minh|201|Huyện
20111|Bắc Mê|201|Huyện
20113|Hoàng Su Phì|201|Huyện
20117|Xín Mần|201|Huyện
20119|Bắc Quang|201|Huyện
20301|Thành phố Cao Bằng|203|Thành phố
20303|Bảo Lạc|203|Huyện
20305|Hà Quảng|203|Huyện
20307|Thông Nông|203|Huyện
20311|Trùng Khánh|203|Huyện
20313|Nguyên Bình|203|Huyện
20317|Quảng Uyên|203|Huyện
20319|Hạ Lang|203|Huyện
20321|Thạch An|203|Huyện
20505|Mường Khương|205|Huyện
20507|Bát Xát|205|Huyện
20508|Si Ma Cai|205|Huyện
20511|Bảo Thắng|205|Huyện
20513|Sa Pa|205|Huyện
20519|Văn Bàn|205|Huyện
20703|Ba Bể|207|Huyện
20704|Pác Nặm|207|Huyện
20705|Ngân Sơn|207|Huyện
50521|Mộ Đức|505|Huyện
60701|Thành phố Đà Lạt|607|Thành phố
71307|Vĩnh Cửu|713|Huyện
70111|Quận 6|701|Quận
70137|Hóc Môn|701|Huyện
81713|Trà Cú|817|Huyện
