TINH_ID|TEN_TINH|VUNG_MIEN
101|Hà Nội|1
103|Thành phố Hải Phòng|1
104|Vĩnh Phúc|1
106|Bắc Ninh|1
107|Hải Dương|1
109|Hưng Yên|1
111|Hà Nam|1
113|Nam Định|1
115|Thái Bình|1
117|Ninh Bình|1
201|Hà Giang|1
203|Cao Bằng|1
205|Lào Cai|1
207|Bắc Kạn|1
209|Lạng Sơn|1
211|Tuyên Quang|1
213|Yên Bái|1
215|Thái Nguyên|1
217|Phú Thọ|1
221|Bắc Giang|1
225|Quảng Ninh|1
301|Lai Châu|1
302|Điện Biên|1
303|Sơn La|1
305|Hoà Bình|1
401|Thanh Hóa|1
403|Nghệ An|1
405|Hà Tĩnh|1
407|Quảng Bình|2
409|Quảng Trị|2
411|Thừa Thiên Huế|2
501|Đà Nẵng|2
503|Quảng Nam|2
505|Quảng Ngãi|2
507|Bình Định|2
509|Phú Yên|2
511|Khánh Hòa|2
601|Kon Tum|3
603|Gia Lai|3
605|Đắk Lắk|3
606|Đắk Nông|3
607|Lâm Đồng|4
701|Thành phố Hồ Chí Minh|4
705|Ninh Thuận|2
707|Bình Phước|4
709|Tây Ninh|4
711|Bình Dương|4
713|Đồng Nai|4
715|Bình Thuận|2
717|Bà Rịa - Vũng Tàu|4
801|Long An|4
803|Đồng Tháp|4
805|An Giang|4
807|Tiền Giang|4
809|Vĩnh Long|4
811|Bến Tre|4
813|Kiên Giang|4
815|Thành phố Cần Thơ|4
816|Hậu Giang|4
817|Trà Vinh|4
819|Sóc Trăng|4
821|Bạc Liêu|4
823|Cà Mau|4
