XA_ID|TEN_XA|HUYEN_ID|CAP
1011529|Hồng Kỳ|10115|Xã
1011533|Tân Hưng|10115|Xã
1011535|Bắc Phú|10115|Xã
1011537|Việt Long|10115|Xã
1011541|Đức Hòa|10115|Xã
1011543|Xuân Thu|10115|Xã
1011545|Kim Lũ|10115|Xã
1011547|Phù Linh|10115|Xã
1011551|Tiên Dược|10115|Xã
1011703|Xuân Nộn|10117|Xã
1011705|Nguyên Khê|10117|Xã
1011711|Tiên Dương|10117|Xã
1011715|Bắc Hồng|10117|Xã
1011717|Vân Nội|10117|Xã
1011719|Kim Nỗ|10117|Xã
1011721|Kim Chung|10117|Xã
1011723|Đại Mạch|10117|Xã
1011727|Hải Bối|10117|Xã
1011729|Liên Hà|10117|Xã
1011731|Vân Hà|10117|Xã
1011735|Thụy Lâm|10117|Xã
1011741|Đông Hội|10117|Xã
1011743|Xuân Canh|10117|Xã
1011747|Vĩnh Ngọc|10117|Xã
1011911|Bát Tràng|10119|Xã
1011913|Lệ Chi|10119|Xã
1011915|Đình Xuyên|10119|Xã
1011917|Ninh Hiệp|10119|Xã
1011921|Trung Mầu|10119|Xã
1011925|Yên Thường|10119|Xã
1011933|Kim Lan|10119|Xã
1011947|Cổ Bi|10119|Xã
1032127|Nhân Hòa|10321|Xã
1032129|Tam Đa|10321|Xã
1032131|Hưng Nhân|10321|Xã
1032133|Vinh Quang|10321|Xã
1032135|Đồng Minh|10321|Xã
1032141|Lý Học|10321|Xã
1032143|Tam Cường|10321|Xã
1032145|Hòa Bình|10321|Xã
1032147|Tiền Phong|10321|Xã
1032149|Vĩnh Phong|10321|Xã
1032153|Cao Minh|10321|Xã
1032155|Cổ Am|10321|Xã
1032159|Trấn Dương|10321|Xã
1032301|Thị trấn Cát Bà|10323|Thị trấn
1032305|Nghĩa Lộ|10323|Xã
1032307|Đồng Bài|10323|Xã
1032311|Văn Phong|10323|Xã
1032313|Phù Long|10323|Xã
1032315|Gia Luận|10323|Xã
1032321|Việt Hải|10323|Xã
1032323|Xuân Đám|10323|Xã
1032501|Bạch Long Vĩ|10325|
1040101|Tích Sơn|10401|Phường
1040103|Liên Bảo|10401|Phường
1040104|Hội Hợp|10401|Phường
1040105|Đống Đa|10401|Phường
1040107|Ngô Quyền|10401|Phường
1040108|Đồng Tâm|10401|Phường
1040111|Định Trung|10401|Xã
1040113|Khai Quang|10401|Phường
1040114|Thanh Trù|10401|Xã
1040201|Trưng Nhị|10402|Phường
1040202|Trưng Trắc|10402|Phường
1040203|Hùng Vương|10402|Phường
1040205|Xuân Hòa|10402|Phường
1040206|Đồng Xuân|10402|Phường
1040207|Cao Minh|10402|Xã
1040209|Nam Viêm|10402|Xã
1040211|Tiền Châu|10402|Xã
1040213|Phúc Thắng|10402|Phường
1040215|Ngọc Thanh|10402|Xã
1040301|Thị trấn Lập Thạch|10403|Thị trấn
1040307|Quang Sơn|10403|Xã
1040309|Ngọc Mỹ|10403|Xã
1040311|Hợp Lý|10403|Xã
1040323|Bắc Bình|10403|Xã
1040325|Thái Hòa|10403|Xã
1040327|Liễn Sơn|10403|Xã
1040328|Thị trấn Hoa Sơn|10403|Thị trấn
1040329|Xuân Hòa|10403|Xã
1040331|Vân Trục|10403|Xã
1040341|Liên Hòa|10403|Xã
1040355|Bàn Giản|10403|Xã
1040357|Xuân Lôi|10403|Xã
1040359|Đồng ích|10403|Xã
1040361|Tiên Lữ|10403|Xã
1040363|Văn Quán|10403|Xã
1040371|Đình Chu|10403|Xã
1040375|Triệu Đề|10403|Xã
1040403|Đạo Trù 1|10404|Xã
1040405|Đại Đình|10404|Xã
1040407|Tam Quan|10404|Xã
1040411|Bồ Lý|10404|Xã
1040415|Hợp Châu|10404|Xã
1040517|Hoàng Hoa|10405|Xã
1040519|Đồng Tĩnh|10405|Xã
1040523|Kim Long|10405|Xã
1040525|Hướng Đạo|10405|Xã
1040527|Đạo Tú|10405|Xã
1040541|Duy Phiên|10405|Xã
1040543|Hoàng Đan|10405|Xã
1040545|Hoàng Lâu|10405|Xã
1040547|Vân Hội|10405|Xã
1040601|Thị trấn Hương Canh|10406|Thị trấn
1040603|Trung Mỹ|10406|Xã
1040607|Thị trấn Gia Khánh|10406|Thị trấn
1130703|Yên Trung|11307|Xã
1090647|Thành Công|10906|Xã
1090649|Nhuế Dương|10906|Xã
1090701|Thị trấn Ân Thi|10907|Thị trấn
1090707|Bãi Sậy|10907|Xã
